position,hand_rank_tuple,wins,total_matchups,netev
front,"(1, 13, 7)",1,1,-0.812179
front,"(1, 13, 6)",1,1,-0.812949
front,"(1, 13, 5)",1,1,-0.813718
front,"(1, 13, 4)",1,1,-0.814487
front,"(1, 13, 3)",1,1,-0.815256
front,"(1, 13, 2)",1,1,-0.816026
front,"(1, 12, 11)",1,1,-0.816667
front,"(1, 12, 10)",1,1,-0.817521
front,"(1, 12, 9)",1,1,-0.818376
front,"(1, 12, 8)",1,1,-0.819231
front,"(1, 12, 7)",1,1,-0.820085
front,"(1, 12, 6)",1,1,-0.820940
front,"(1, 12, 5)",1,1,-0.821795
front,"(1, 12, 4)",1,1,-0.822650
front,"(1, 12, 3)",1,1,-0.823504
front,"(1, 12, 2)",1,1,-0.824359
front,"(1, 11, 10)",1,1,-0.825000
front,"(1, 11, 9)",1,1,-0.825962
front,"(1, 11, 8)",1,1,-0.826923
front,"(1, 11, 7)",1,1,-0.827885
front,"(1, 11, 6)",1,1,-0.828846
front,"(1, 11, 5)",1,1,-0.829808
front,"(1, 11, 4)",1,1,-0.830769
